,Unnamed: 0,City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
0,0,Ahmedabad,2015-01-01,67.45057794890272,118.12710293078102,0.92,18.22,17.15,23.483476019371977,0.92,27.64,133.36,0.0,0.02,0.0,166.4635814889336,Moderate
4,4,Ahmedabad,2015-01-05,67.45057794890272,118.12710293078102,22.1,21.42,37.76,23.483476019371977,22.1,39.33,39.31,7.01,18.89,2.78,166.4635814889336,Moderate
7,7,Ahmedabad,2015-01-08,67.45057794890272,118.12710293078102,80.87,36.74,96.75,23.483476019371977,80.87,38.54,31.89,0.0,0.0,0.0,166.4635814889336,Moderate
16,16,Ahmedabad,2015-01-17,67.45057794890272,118.12710293078102,11.44,24.73,34.75,23.483476019371977,11.44,49.5,52.24,0.68,0.0,3.27,166.4635814889336,Moderate
18,18,Ahmedabad,2015-01-19,67.45057794890272,118.12710293078102,2.51,26.88,27.45,23.483476019371977,2.51,50.03,49.48,0.26,0.02,2.8,166.4635814889336,Moderate
19,19,Ahmedabad,2015-01-20,67.45057794890272,118.12710293078102,7.92,26.8,32.4,23.483476019371977,7.92,58.87,56.37,0.24,0.01,3.97,166.4635814889336,Moderate
28,28,Ahmedabad,2015-01-29,83.13,118.12710293078102,6.93,28.71,33.72,23.483476019371977,6.93,49.52,59.76,0.02,0.0,3.14,209.0,Poor
29,29,Ahmedabad,2015-01-30,79.84,118.12710293078102,13.85,28.68,41.08,23.483476019371977,13.85,48.49,97.07,0.04,0.0,4.81,328.0,Very Poor
30,30,Ahmedabad,2015-01-31,94.52,118.12710293078102,24.39,32.66,52.61,23.483476019371977,24.39,67.39,111.33,0.24,0.01,7.67,514.0,Severe
40,40,Ahmedabad,2015-02-10,105.39,118.12710293078102,1.41,18.21,18.75,23.483476019371977,1.41,35.91,56.15,0.0,0.0,3.31,256.0,Poor
42,42,Ahmedabad,2015-02-12,65.04,118.12710293078102,14.19,30.1,44.21,23.483476019371977,14.19,65.91,31.88,7.72,17.46,2.51,288.0,Poor
43,43,Ahmedabad,2015-02-13,103.36,118.12710293078102,18.18,39.56,57.33,23.483476019371977,18.18,80.43,40.11,11.29,24.35,3.35,510.0,Severe
44,44,Ahmedabad,2015-02-14,177.33,118.12710293078102,37.49,47.58,77.85,23.483476019371977,37.49,99.72,36.47,17.0,52.66,6.98,761.0,Severe
56,56,Ahmedabad,2015-02-26,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
59,59,Ahmedabad,2015-03-01,61.12,118.12710293078102,3.58,16.81,20.92,23.483476019371977,3.58,28.44,30.48,2.69,1.58,1.32,166.4635814889336,Moderate
60,60,Ahmedabad,2015-03-02,60.78,118.12710293078102,9.07,18.21,27.34,23.483476019371977,9.07,29.48,34.75,2.05,0.55,0.22,189.0,Moderate
61,61,Ahmedabad,2015-03-03,91.83,118.12710293078102,12.99,28.71,40.76,23.483476019371977,12.99,39.71,38.46,2.69,1.74,2.25,408.0,Severe
62,62,Ahmedabad,2015-03-04,93.88,118.12710293078102,18.21,29.38,47.01,23.483476019371977,18.21,62.75,46.79,5.21,2.55,1.55,383.0,Very Poor
66,66,Ahmedabad,2015-03-08,71.56,118.12710293078102,3.51,16.83,20.32,23.483476019371977,3.51,30.28,57.16,3.95,8.01,0.63,190.0,Moderate
69,69,Ahmedabad,2015-03-11,118.49,118.12710293078102,4.11,28.94,31.83,23.483476019371977,4.11,54.2,53.61,7.9,21.32,2.78,330.0,Very Poor
71,71,Ahmedabad,2015-03-13,97.34,118.12710293078102,3.67,21.58,24.62,23.483476019371977,3.67,64.39,45.69,5.61,15.02,2.25,244.0,Poor
72,72,Ahmedabad,2015-03-14,83.92,118.12710293078102,6.42,25.03,30.8,23.483476019371977,6.42,67.53,34.94,8.24,21.47,3.09,234.0,Poor
76,76,Ahmedabad,2015-03-18,57.69,118.12710293078102,25.36,29.48,54.79,23.483476019371977,25.36,58.33,52.87,9.55,32.11,4.53,286.0,Poor
77,77,Ahmedabad,2015-03-19,105.06,118.12710293078102,46.24,37.05,82.23,23.483476019371977,46.24,53.62,45.65,20.89,75.36,12.7,883.0,Severe
79,79,Ahmedabad,2015-03-21,111.89,118.12710293078102,22.25,43.29,64.53,23.483476019371977,22.25,66.44,50.57,18.03,56.86,8.86,570.0,Severe
81,81,Ahmedabad,2015-03-23,130.76,118.12710293078102,45.61,41.03,85.76,23.483476019371977,45.61,65.77,41.58,24.12,85.31,12.56,818.0,Severe
82,82,Ahmedabad,2015-03-24,143.55,118.12710293078102,27.3,31.15,57.16,23.483476019371977,27.3,50.98,35.38,18.61,72.78,10.15,737.0,Severe
91,91,Ahmedabad,2015-04-02,77.69,118.12710293078102,5.24,18.87,23.06,23.483476019371977,5.24,100.48,27.14,9.49,11.77,1.6,222.0,Poor
92,92,Ahmedabad,2015-04-03,53.07,118.12710293078102,4.17,13.82,17.45,23.483476019371977,4.17,40.36,21.76,4.47,6.94,0.42,169.0,Moderate
96,96,Ahmedabad,2015-04-07,138.63,118.12710293078102,5.65,25.47,30.67,23.483476019371977,5.65,87.43,29.77,11.25,24.67,3.12,314.0,Very Poor
97,97,Ahmedabad,2015-04-08,144.36,118.12710293078102,15.82,30.69,46.1,23.483476019371977,15.82,66.39,27.34,17.22,49.56,7.71,378.0,Very Poor
99,99,Ahmedabad,2015-04-10,134.6,118.12710293078102,5.9,26.27,28.7,23.483476019371977,5.9,34.53,7.0,0.0,0.0,0.0,166.4635814889336,Moderate
112,112,Ahmedabad,2015-04-23,75.29,118.12710293078102,3.35,14.29,17.97,23.483476019371977,3.35,76.05,60.71,0.0,0.01,2.27,166.4635814889336,Moderate
114,114,Ahmedabad,2015-04-25,103.29,118.12710293078102,4.55,19.82,23.69,23.483476019371977,4.55,85.42,22.18,0.06,1.17,2.58,253.0,Poor
116,116,Ahmedabad,2015-04-27,161.14,118.12710293078102,3.11,14.77,16.12,23.483476019371977,3.11,118.35,59.73,0.0,2.55,0.0,166.4635814889336,Moderate
127,127,Ahmedabad,2015-05-08,38.73,118.12710293078102,8.0,19.28,26.61,23.483476019371977,8.0,20.13,25.7,0.0,0.0,2.08,177.0,Moderate
128,128,Ahmedabad,2015-05-09,61.12,118.12710293078102,9.94,17.82,27.18,23.483476019371977,9.94,39.69,25.9,0.0,0.0,3.49,201.0,Poor
130,130,Ahmedabad,2015-05-11,61.49,118.12710293078102,11.44,16.69,27.61,23.483476019371977,11.44,42.66,18.2,0.01,0.0,2.59,221.0,Poor
